year,lgID,tmID,franchID,confID,divID,rank,playoff,G,W,L,T,OTL,Pts,SoW,SoL,GF,GA,GoalDif,name,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
2001,NHL,ATL,WPG,EC,SE,5,,82,19,47,11,5,54,,,187,288,-101,Atlanta Thrashers,1290,22,37,306,12.091503267973856,12,65,358,18.156424581005588,3
2001,NHL,BOS,BOS,EC,NE,1,CQF,82,43,24,6,9,101,,,236,201,35,Boston Bruins,1454,12,39,283,13.780918727915195,5,45,348,12.931034482758621,14
2001,NHL,BUF,BUF,EC,NE,5,,82,35,35,11,1,82,,,213,200,13,Buffalo Sabres,1217,16,50,374,13.368983957219251,6,41,304,13.486842105263158,7
2001,NHL,CAL,CAL,WC,NW,4,,82,32,35,12,3,79,,,201,220,-19,Calgary Flames,1586,12,55,364,15.10989010989011,5,66,356,18.53932584269663,10
2001,NHL,CAR,CAR,EC,SE,1,F,82,35,26,16,5,91,,,217,217,0,Carolina Hurricanes,1022,12,63,390,16.153846153846153,11,54,332,16.265060240963855,4
2001,NHL,CBS,CBS,WC,CE,5,,82,22,47,8,5,57,,,164,255,-91,Columbus Blue Jackets,1198,14,50,356,14.04494382022472,8,52,306,16.99346405228758,3
2001,NHL,CHI,CHI,WC,CE,3,CQF,82,41,27,13,1,96,,,216,207,9,Chicago Blackhawks,1234,10,54,302,17.880794701986755,2,63,340,18.529411764705884,4
2001,NHL,COL,COL,WC,NW,1,CF,82,45,28,8,1,99,,,212,169,43,Colorado Avalanche,1007,10,62,344,18.023255813953487,7,41,315,13.015873015873018,7
2001,NHL,DAL,DAL,WC,PC,4,,82,36,28,13,5,90,,,215,213,2,Dallas Stars,959,12,60,350,17.142857142857142,8,59,319,18.495297805642632,7
2001,NHL,DET,DET,WC,CE,1,SC,82,51,17,10,4,116,,,251,187,64,Detroit Red Wings,1053,10,73,359,20.334261838440113,7,48,343,13.994169096209912,9
