year,tmID,rank,playoff,G,W,L,Pts,GF,GA,Goal Dif,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
1999,CHI,3,,82,33,37,78,242,245,-3,1444,20,52,325,0.1600,13,58,355, 0.1634 ,10
1999,COL,1,CF,82,42,28,96,233,201,32,1118,18,59,302,0.1954,7,52,335, 0.1552 ,3
1999,DAL,1,F,82,43,23,102,211,184,27,1029,12,54,343,0.1574,9,33,307, 0.1075 ,9
1999,DET,2,CSF,82,48,22,108,278,210,68,1014,20,69,338,0.2041,6,44,311, 0.1415 ,15
1999,EDM,2,CQF,82,32,26,88,226,212,14,1344,16,53,336,0.1577,4,54,369, 0.1463 ,9
1999,FLO,2,CQF,82,43,27,98,244,209,35,1329,18,58,338,0.1716,8,47,323, 0.1455 ,2
1999,LAK,2,CQF,82,39,27,94,245,228,17,1313,4,60,356,0.1685,12,66,373, 0.1769 ,4
1999,MTL,4,,82,35,34,83,196,194,2,1067,14,54,323,0.1672,8,40,302, 0.1325 ,7
1999,NAS,4,,82,28,40,70,199,240,-41,946,14,41,304,0.1349,11,46,309, 0.1489 ,9
1999,NJD,2,SC,82,45,24,103,251,203,48,1313,22,55,274,0.2007,9,39,313, 0.1246 ,9
1999,NYI,5,,82,24,48,58,194,275,-81,1376,8,45,319,0.1411,8,84,419, 0.2005 ,8
1999,NYR,4,,82,29,38,73,218,246,-28,916,4,55,325,0.1692,9,49,292, 0.1678 ,5
1999,OTT,2,CQF,82,41,28,95,244,210,34,850,14,52,310,0.1677,8,34,273, 0.1245 ,6
1999,PHI,1,CF,82,45,22,105,237,179,58,1233,8,69,340,0.2029,7,42,316, 0.1329 ,7
1999,PHO,3,CQF,82,39,31,90,232,228,4,940,12,37,310,0.1194,7,43,306, 0.1405 ,14
1999,PIT,3,CSF,82,37,31,88,241,236,5,1221,16,54,346,0.1561,11,56,321, 0.1745 ,7
1999,SJS,4,CSF,82,35,30,87,225,214,11,1292,6,62,377,0.1645,4,61,372, 0.1640 ,16
1999,STL,1,CQF,82,51,19,114,248,165,83,1139,22,61,342,0.1784,3,42,345, 0.1217 ,13
1999,TBL,4,,82,19,47,54,204,310,-106,1733,20,51,365,0.1397,7,77,399, 0.1930 ,9
1999,TOR,1,CSF,82,45,27,100,246,222,24,1103,12,57,321,0.1776,5,58,330, 0.1758 ,11
1999,VAN,3,,82,30,29,83,227,237,-10,1047,22,51,323,0.1579,7,63,322, 0.1957 ,9
1999,WAS,1,CQF,82,44,24,102,227,194,33,994,14,43,286,0.1503,3,47,340, 0.1382 ,9
2000,ANA,5,,82,25,41,66,188,245,-57,1136,12,66,373,0.1769,13,71,390, 0.1821 ,6
2000,ATL,4,,82,23,45,60,211,289,-78,1500,6,54,395,0.1367,8,90,408, 0.2206 ,9
2000,BOS,4,,82,36,30,88,227,249,-22,1325,18,64,390,0.1641,7,65,377, 0.1724 ,8
2000,BUF,2,CSF,82,46,30,98,218,184,34,1249,8,60,373,0.1609,5,40,334, 0.1198 ,6
2000,CAL,4,,82,27,36,73,197,236,-39,1376,14,65,435,0.1494,11,76,378, 0.2011 ,3
2000,CAR,2,CQF,82,38,32,88,212,225,-13,1083,10,72,382,0.1885,16,45,351, 0.1282 ,6
2000,CBS,5,,82,28,39,71,190,233,-43,1234,20,56,381,0.1470,8,70,363, 0.1928 ,3
2000,CHI,4,,82,29,40,71,210,246,-36,1001,24,41,318,0.1289,12,52,323, 0.1610 ,15
2000,COL,1,SC,82,52,16,118,270,192,78,1138,16,80,363,0.2204,11,59,342, 0.1725 ,11
2000,DAL,1,CSF,82,48,24,106,241,187,54,1041,10,72,367,0.1962,7,49,355, 0.1380 ,7
2000,DET,1,CQF,82,49,20,111,253,202,51,1082,20,85,384,0.2214,7,55,385, 0.1429 ,10
2000,EDM,2,CQF,82,39,28,93,243,222,21,1287,10,59,398,0.1482,4,62,382, 0.1623 ,13
2000,FLO,3,,82,22,38,66,200,246,-46,1509,10,46,353,0.1303,13,64,398, 0.1608 ,8
2000,LAK,3,CSF,82,38,28,92,252,228,24,1196,20,71,367,0.1935,6,72,382, 0.1885 ,14
2000,MIN,5,,82,25,39,68,168,210,-42,1200,26,36,374,0.0963,14,57,373, 0.1528 ,13
2000,MTL,5,,82,28,40,70,206,232,-26,1020,18,68,421,0.1615,3,60,337, 0.1780 ,5
2000,NAS,3,,82,34,36,80,186,200,-14,944,8,51,361,0.1413,4,49,331, 0.1480 ,7
2000,NJD,1,F,82,48,19,111,295,195,100,1235,18,71,310,0.2290,6,49,320, 0.1531 ,9
2000,NYI,5,,82,21,51,52,185,268,-83,1339,14,51,386,0.1321,14,79,445, 0.1775 ,9
2000,NYR,4,,82,33,43,72,250,290,-40,1522,18,65,363,0.1791,12,86,400, 0.2150 ,16
2000,OTT,1,CQF,82,48,21,109,274,205,69,1062,10,71,381,0.1864,5,49,361, 0.1357 ,10
2000,PHI,2,CQF,82,43,25,100,240,207,33,1183,8,55,350,0.1571,9,55,314, 0.1752 ,11
2000,PHO,4,,82,35,27,90,214,212,2,1337,12,57,343,0.1662,6,64,432, 0.1481 ,9
2000,PIT,3,CF,82,42,28,96,281,256,25,1585,12,76,375,0.2027,11,78,405, 0.1926 ,7
2000,SJS,2,CQF,82,40,27,95,217,192,25,1364,10,57,406,0.1404,10,61,441, 0.1383 ,8
2000,STL,2,CF,82,43,22,103,249,195,54,1345,14,72,385,0.1870,7,57,389, 0.1465 ,15
2000,TBL,5,,82,24,47,59,201,280,-79,1404,20,53,424,0.1250,11,72,422, 0.1706 ,9
2000,TOR,3,CSF,82,37,29,90,232,207,25,1430,6,57,355,0.1606,9,55,366, 0.1503 ,2
2000,VAN,3,CQF,82,36,28,90,239,238,1,1113,22,71,416,0.1707,11,74,387, 0.1912 ,12
2000,WAS,1,CQF,82,41,27,96,233,211,22,1141,10,75,353,0.2125,7,62,391, 0.1586 ,6
2001,ANA,5,,82,29,42,69,175,198,-23,1254,14,43,373,0.1153,9,46,330, 0.1394 ,4
2001,ATL,5,,82,19,47,54,187,288,-101,1290,22,37,306,0.1209,12,65,358, 0.1816 ,3
2001,BOS,1,CQF,82,43,24,101,236,201,35,1454,12,39,283,0.1378,5,45,348, 0.1293 ,14
2001,BUF,5,,82,35,35,82,213,200,13,1217,16,50,374,0.1337,6,41,304, 0.1349 ,7
