year,tmID,rank,playoff,G,W,L,Pts,GF,GA,Goal Dif,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
2011,CAL,2,,82,37,29,90,202,226,-24,885,20,46,260,0.1769,6,42,268, 0.1567 ,3
2011,CAR,5,,82,33,33,82,213,243,-30,763,12,49,294,0.1667,4,49,252, 0.1944 ,12
2011,CBS,5,,82,29,46,65,202,262,-60,1037,16,49,317,0.1546,8,64,274, 0.2336 ,7
2011,CHI,4,CQF,82,45,26,101,248,238,10,848,20,42,277,0.1516,3,51,233, 0.2189 ,7
2011,COL,3,,82,41,35,88,208,220,-12,902,12,41,223,0.1839,4,47,277, 0.1697 ,5
2011,DAL,4,,82,42,35,89,211,222,-11,1032,24,33,244,0.1352,3,52,303, 0.1716 ,5
2011,DET,3,CQF,82,48,28,102,248,203,45,699,24,48,298,0.1611,11,50,274, 0.1825 ,2
2011,EDM,5,,82,32,40,74,212,239,-27,942,20,54,262,0.2061,8,52,296, 0.1757 ,5
2011,FLO,1,CQF,82,38,26,94,203,227,-24,792,30,53,286,0.1853,6,49,239, 0.2050 ,4
2011,LAK,3,SC,82,40,27,95,194,179,15,923,6,49,289,0.1696,2,38,293, 0.1297 ,9
2011,MIN,4,,82,35,36,81,177,226,-49,994,16,39,258,0.1512,4,51,285, 0.1789 ,5
2011,MTL,5,,82,31,35,78,212,226,-14,954,20,43,301,0.1429,8,36,315, 0.1143 ,10
2011,NAS,2,CSF,82,48,26,104,237,210,27,689,12,54,250,0.2160,4,40,244, 0.1639 ,5
2011,NJD,4,F,82,48,28,102,228,209,19,944,20,46,267,0.1723,13,27,259, 0.1042 ,15
2011,NYI,5,,82,34,37,79,203,255,-52,763,8,45,243,0.1852,5,46,236, 0.1949 ,4
2011,NYR,1,CF,82,51,24,109,226,187,39,1059,14,44,280,0.1571,4,36,260, 0.1385 ,8
2011,OTT,2,CQF,82,41,31,92,249,240,9,1145,24,49,270,0.1815,7,57,310, 0.1839 ,9
2011,PHI,3,CSF,82,47,26,103,264,232,32,1318,18,66,335,0.1970,9,58,319, 0.1818 ,6
2011,PHO,1,CF,82,42,27,97,216,204,12,757,18,34,251,0.1355,6,36,249, 0.1446 ,6
2011,PIT,2,CQF,82,51,25,108,282,221,61,880,12,57,289,0.1972,10,33,270, 0.1222 ,11
2011,SJS,2,CQF,82,43,29,96,228,210,18,785,18,57,270,0.2111,4,52,225, 0.2311 ,3
2011,STL,1,CSF,82,49,22,109,210,165,45,1062,16,45,270,0.1667,3,40,282, 0.1418 ,7
2011,TBL,3,,82,38,36,84,235,281,-46,865,16,41,269,0.1524,12,59,284, 0.2077 ,2
2011,TOR,4,,82,35,37,80,231,264,-33,824,16,49,267,0.1835,6,55,242, 0.2273 ,5
2011,VAN,1,CQF,82,51,22,111,249,198,51,1049,10,57,288,0.1979,4,40,286, 0.1399 ,7
2011,WAS,2,CSF,82,42,32,92,222,230,-8,767,16,41,245,0.1673,10,49,266, 0.1842 ,3
2011,WPG,4,,82,37,35,84,225,246,-21,905,4,45,251,0.1793,8,58,292, 0.1986 ,3
